family,task,arm,scenario,trials,baseline_mae,proposed_mae,relative_mae_reduction,proposed_win_rate,proposed_no_plausible_cycle_rate,baseline_detection_rate,proposed_detection_rate,proposed_block_rate,median_detection_latency,active_expert_suppression_rate
progress,bimanual_handover_item,left,normal,5,0.0,0.9333333333333332,0.0,0.0,0.02962962962962963,,,,,
progress,bimanual_handover_item,left,skip,10,1.9843478260869567,1.3624347826086955,0.3134092900964068,0.8,0.03333333333333333,,,,,
progress,bimanual_handover_item,left,stutter,10,3.0954545454545457,2.8124242424242416,0.09143416544297635,0.5,0.05396825396825397,,,,,
progress,bimanual_handover_item,right,normal,5,0.0,0.4962962962962963,0.0,0.0,0.13333333333333333,,,,,
progress,bimanual_handover_item,right,skip,10,1.9843478260869567,1.2201739130434783,0.3851007887817704,0.8,0.17916666666666667,,,,,
progress,bimanual_handover_item,right,stutter,10,3.0954545454545457,0.48545454545454547,0.843171806167401,1.0,0.11428571428571428,,,,,
progress,bimanual_lift_tray,left,normal,5,0.0,1.037037037037037,0.0,0.0,0.0,,,,,
progress,bimanual_lift_tray,left,skip,10,1.9843478260869567,1.065391304347826,0.4631025416301491,0.8,0.0,,,,,
progress,bimanual_lift_tray,left,stutter,10,3.0954545454545457,1.1618181818181816,0.6246696035242292,1.0,0.0,,,,,
progress,bimanual_lift_tray,right,normal,5,0.0,1.037037037037037,0.0,0.0,0.0,,,,,
progress,bimanual_lift_tray,right,skip,10,1.9843478260869567,1.0775652173913044,0.45696757230499563,0.8,0.0,,,,,
progress,bimanual_lift_tray,right,stutter,10,3.0954545454545457,1.1236363636363635,0.6370044052863437,0.9,0.0,,,,,
progress,bimanual_put_bottle_in_fridge,left,normal,5,0.0,0.0,0.0,0.0,0.9851851851851852,,,,,
progress,bimanual_put_bottle_in_fridge,left,skip,10,1.9843478260869567,1.9843478260869567,0.0,0.0,0.9833333333333333,,,,,
progress,bimanual_put_bottle_in_fridge,left,stutter,10,3.0954545454545457,3.0954545454545457,0.0,0.0,0.9873015873015873,,,,,
progress,bimanual_put_bottle_in_fridge,right,normal,5,0.0,2.911111111111111,0.0,0.0,0.0,,,,,
progress,bimanual_put_bottle_in_fridge,right,skip,10,1.9843478260869567,2.895130434782609,-0.4589833479404032,0.3,0.0,,,,,
progress,bimanual_put_bottle_in_fridge,right,stutter,10,3.0954545454545457,3.186969696969697,-0.029564366128242717,0.8,0.0,,,,,
progress,bimanual_sweep_to_dustpan,left,normal,5,0.0,0.1037037037037037,0.0,0.0,0.0,,,,,
progress,bimanual_sweep_to_dustpan,left,skip,10,1.9843478260869567,1.212521739130435,0.38895705521472385,0.6,0.2625,,,,,
progress,bimanual_sweep_to_dustpan,left,stutter,10,3.0954545454545457,0.08909090909090908,0.9712187958883994,1.0,0.0,,,,,
progress,bimanual_sweep_to_dustpan,right,normal,5,0.0,0.1925925925925926,0.0,0.0,0.0,,,,,
progress,bimanual_sweep_to_dustpan,right,skip,10,1.9843478260869567,1.3039999999999998,0.342857142857143,0.6,0.2625,,,,,
progress,bimanual_sweep_to_dustpan,right,stutter,10,3.0954545454545457,0.16545454545454547,0.9465491923641703,1.0,0.0,,,,,
progress,open_microwave,single,normal,5,0.0,0.18518518518518517,0.0,0.0,0.4,,,,,
progress,open_microwave,single,skip,10,1.9843478260869567,1.0666086956521739,0.46248904469763374,0.6,0.4,,,,,
progress,open_microwave,single,stutter,10,3.0954545454545457,1.113030303030303,0.6404307391091533,0.9,0.34285714285714286,,,,,
progress,place_cups,single,normal,5,0.0,0.6148148148148148,0.0,0.0,0.0,,,,,
progress,place_cups,single,skip,10,1.9843478260869567,2.0102608695652173,-0.013058720420683486,0.5,0.0,,,,,
progress,place_cups,single,stutter,10,3.0954545454545457,2.096969696969697,0.32256485560450315,0.9,0.0,,,,,
progress,stack_wine,single,normal,5,0.0,0.2962962962962963,0.0,0.0,0.0,,,,,
progress,stack_wine,single,skip,10,1.9843478260869567,0.376695652173913,0.8101665205959685,1.0,0.0,,,,,
progress,stack_wine,single,stutter,10,3.0954545454545457,0.6896969696969698,0.7771904062652961,1.0,0.06984126984126984,,,,,
progress,wipe_desk,single,normal,5,0.0,2.0444444444444447,0.0,0.0,0.0,,,,,
progress,wipe_desk,single,skip,10,1.9843478260869567,2.0203478260869563,-0.018141980718667627,0.5,0.0,,,,,
progress,wipe_desk,single,stutter,10,3.0954545454545457,2.2375757575757573,0.27714145863925616,0.6,0.0,,,,,
relation,bimanual_handover_item,left,false_coupling_control,5,,,,,,0.0,0.0,0.0,,0.0
relation,bimanual_handover_item,left,false_coupling_perturbed,5,,,,,,0.0,1.0,1.0,0.0,1.0
relation,bimanual_lift_tray,left,break_link_control,2,,,,,,0.0,0.0,0.75,,0.0
relation,bimanual_lift_tray,left,break_link_perturbed,2,,,,,,0.0,0.0,0.75,,0.0
relation,bimanual_lift_tray,left,false_coupling_control,5,,,,,,0.0,0.0,0.0,,0.0
relation,bimanual_lift_tray,left,false_coupling_perturbed,5,,,,,,0.0,1.0,1.0,0.0,1.0
relation,bimanual_lift_tray,right,false_coupling_control,5,,,,,,0.0,0.0,0.0,,0.0
relation,bimanual_lift_tray,right,false_coupling_perturbed,5,,,,,,0.0,1.0,1.0,0.0,1.0
relation,bimanual_put_bottle_in_fridge,left,false_coupling_control,5,,,,,,0.0,0.0,0.0,,0.0
relation,bimanual_put_bottle_in_fridge,left,false_coupling_perturbed,5,,,,,,0.0,1.0,1.0,0.0,1.0
relation,bimanual_sweep_to_dustpan,left,break_link_control,1,,,,,,0.0,0.0,0.0,,0.0
relation,bimanual_sweep_to_dustpan,left,break_link_perturbed,1,,,,,,0.0,0.0,0.0,,0.0
relation,bimanual_sweep_to_dustpan,left,false_coupling_control,5,,,,,,0.0,0.0,0.0,,0.0
relation,bimanual_sweep_to_dustpan,left,false_coupling_perturbed,5,,,,,,0.0,1.0,1.0,0.0,1.0
relation,bimanual_sweep_to_dustpan,right,false_coupling_control,5,,,,,,0.0,0.0,0.0,,0.0
relation,bimanual_sweep_to_dustpan,right,false_coupling_perturbed,5,,,,,,0.0,1.0,1.0,0.0,1.0
relation,open_microwave,single,false_coupling_control,5,,,,,,0.0,0.0,0.0,,0.0
relation,open_microwave,single,false_coupling_perturbed,5,,,,,,0.0,1.0,1.0,0.0,1.0
relation,place_cups,single,false_coupling_control,5,,,,,,0.0,0.0,0.0,,0.0
relation,place_cups,single,false_coupling_perturbed,5,,,,,,0.0,1.0,1.0,0.0,1.0
relation,stack_wine,single,false_coupling_control,5,,,,,,0.0,0.0,0.0,,0.0
relation,stack_wine,single,false_coupling_perturbed,5,,,,,,0.0,1.0,1.0,0.0,1.0
relation,wipe_desk,single,false_coupling_control,5,,,,,,0.0,0.0,0.0,,0.0
relation,wipe_desk,single,false_coupling_perturbed,5,,,,,,0.0,1.0,1.0,0.0,1.0
