task,arm,boundary,transaction_group,demonstration,premature_preterminal_permits,first_terminal_hold_permit_cycle,final_terminal_hold_local_done,final_guard_evidence_available,final_guard_raw_satisfied,expected_directional_wait,final_terminal_hold_permitted,accepted
bimanual_sweep_to_dustpan,right,right:3->4,,2,0,0,1,1,1,0,1,1
bimanual_sweep_to_dustpan,right,right:3->4,,3,0,0,1,1,1,0,1,1
bimanual_sweep_to_dustpan,right,right:3->4,,4,0,0,1,1,1,0,1,1
open_microwave,single,single:0->1,,0,0,0,1,1,1,0,1,1
open_microwave,single,single:0->1,,1,0,0,1,1,1,0,1,1
open_microwave,single,single:0->1,,2,0,0,1,1,1,0,1,1
open_microwave,single,single:0->1,,3,0,0,1,1,1,0,1,1
open_microwave,single,single:0->1,,4,0,0,1,1,1,0,1,1
open_microwave,single,single:1->2,,0,0,0,1,1,1,0,1,1
open_microwave,single,single:1->2,,1,0,0,1,1,1,0,1,1
open_microwave,single,single:1->2,,2,0,0,1,1,1,0,1,1
open_microwave,single,single:1->2,,3,0,0,1,1,1,0,1,1
open_microwave,single,single:1->2,,4,0,0,1,1,1,0,1,1
place_cups,single,single:0->1,,0,0,0,1,1,1,0,1,1
place_cups,single,single:0->1,,1,0,0,1,1,1,0,1,1
place_cups,single,single:0->1,,2,0,0,1,1,1,0,1,1
place_cups,single,single:0->1,,3,0,0,1,1,1,0,1,1
place_cups,single,single:0->1,,4,0,0,1,1,1,0,1,1
place_cups,single,single:1->2,,0,0,0,1,1,1,0,1,1
place_cups,single,single:1->2,,1,0,0,1,1,1,0,1,1
place_cups,single,single:1->2,,2,0,0,1,1,1,0,1,1
place_cups,single,single:1->2,,3,0,0,1,1,1,0,1,1
place_cups,single,single:1->2,,4,0,0,1,1,1,0,1,1
place_cups,single,single:2->3,,0,0,0,1,1,1,0,1,1
place_cups,single,single:2->3,,1,0,0,1,1,1,0,1,1
place_cups,single,single:2->3,,2,0,0,1,1,1,0,1,1
place_cups,single,single:2->3,,3,0,0,1,1,1,0,1,1
place_cups,single,single:2->3,,4,0,0,1,1,1,0,1,1
place_cups,single,single:3->4,,0,0,0,1,1,1,0,1,1
place_cups,single,single:3->4,,1,0,0,1,1,1,0,1,1
place_cups,single,single:3->4,,2,0,0,1,1,1,0,1,1
place_cups,single,single:3->4,,3,0,0,1,1,1,0,1,1
place_cups,single,single:3->4,,4,0,0,1,1,1,0,1,1
stack_wine,single,single:0->1,,0,0,0,1,1,1,0,1,1
stack_wine,single,single:0->1,,1,0,0,1,1,1,0,1,1
stack_wine,single,single:0->1,,2,0,0,1,1,1,0,1,1
stack_wine,single,single:0->1,,3,0,0,1,1,1,0,1,1
stack_wine,single,single:0->1,,4,0,0,1,1,1,0,1,1
stack_wine,single,single:1->2,,0,0,0,1,1,1,0,1,1
stack_wine,single,single:1->2,,1,0,0,1,1,1,0,1,1
stack_wine,single,single:1->2,,2,0,0,1,1,1,0,1,1
stack_wine,single,single:1->2,,3,0,0,1,1,1,0,1,1
stack_wine,single,single:1->2,,4,0,0,1,1,1,0,1,1
stack_wine,single,single:2->3,,0,0,0,1,1,1,0,1,1
stack_wine,single,single:2->3,,1,0,0,1,1,1,0,1,1
stack_wine,single,single:2->3,,2,0,0,1,1,1,0,1,1
stack_wine,single,single:2->3,,3,0,0,1,1,1,0,1,1
stack_wine,single,single:2->3,,4,0,0,1,1,1,0,1,1
wipe_desk,single,single:0->1,,0,0,0,1,1,1,0,1,1
wipe_desk,single,single:0->1,,1,0,0,1,1,1,0,1,1
wipe_desk,single,single:0->1,,2,0,0,1,1,1,0,1,1
wipe_desk,single,single:0->1,,3,0,0,1,1,1,0,1,1
wipe_desk,single,single:0->1,,4,0,0,1,1,1,0,1,1
wipe_desk,single,single:1->2,,0,0,2,1,1,1,0,1,1
wipe_desk,single,single:1->2,,1,0,2,1,1,1,0,1,1
wipe_desk,single,single:1->2,,2,0,2,1,1,1,0,1,1
wipe_desk,single,single:1->2,,3,0,2,1,1,1,0,1,1
wipe_desk,single,single:1->2,,4,0,2,1,1,1,0,1,1
wipe_desk,single,single:2->3,,0,0,0,1,1,1,0,1,1
wipe_desk,single,single:2->3,,1,0,0,1,1,1,0,1,1
wipe_desk,single,single:2->3,,2,0,0,1,1,1,0,1,1
wipe_desk,single,single:2->3,,3,0,0,1,1,1,0,1,1
wipe_desk,single,single:2->3,,4,0,0,1,1,1,0,1,1
